核桃,6.27
花生,5.89
西瓜子,5.73
葵花籽,6.16
栗子,2.12
南瓜子（炒）,5.74
小核桃,5.96
榛子,5.42
碧根果,6.7
巴旦木,5.57
开心果,6.14
松子,6.19
香榧子,6.18
莲子,3.55
白果,3.55
腰果,5.52
牡蛎,0.73
青蟹,0.8
贻贝,0.8
河蚌,0.54
扇贝,0.6
螺蛳,0.59
海参,0.78
生蚝,0.57
赤贝,0.61
蛏子,0.4
花蛤,0.7
蛤蜊,0.62
河蚬,0.47
鲜贝,0.77
梭子蟹,0.95
河蟹,1.03
带子,0.88
新鲜蚬,0.74
海蜇皮,0.33
鱿鱼（干）,3.13
鱼丸,1.07
黑胡椒,2.55
胡椒粉,3.61
五香粉,3.59
辣椒粉,2.9
八角,2.81
全料蒸肉粉,3.43
花椒,3.16
咖喱粉,3.25
奶油,5.04
全脂牛奶粉,4.78
牛奶,0.54
炼奶,3.21
炼乳,3.32
全脂加糖奶粉,4.9
果味奶,0.2
酸奶,0.72
全脂即溶奶粉,4.46
羊奶,0.59
脱脂淡奶,0.78
奶酪,3.28
日本清酒,1.34
二锅头,3.51
龙舌兰鸡尾酒,1.1
红葡萄酒,0.74
白兰地酒,2.15
威士忌,2.5
黄酒,0.66
白葡萄酒,0.66
杜松子酒,2.16
甜白酒,0.99
伏特加,2.31
薄荷甜酒,3.71
啤酒,0.32
红酒,0.69
黑啤酒,0.54
芒果,0.32
龙眼,0.76
黑莓,0.51
荔枝,0.66
红毛丹,0.75
提子,0.69
木瓜,0.41
蓝莓,0.11
榴莲,1.63
百香果,0.73
蛇果,0.54
石榴,0.52
荔枝干,2.77
苹果干,3.1
枣干,2.9
杏脯,2.21
西瓜,0.26
枇杷,0.41
火龙果,0.66
香蕉,0.89
车厘子,0.6
甜瓜,0.27
杨桃,0.31
柚子,0.46
哈密瓜,0.34
菠萝,0.5
白兰瓜,0.23
人参果,0.87
香梨,0.5
橄榄,0.57
杨梅,0.3
杏,0.36
无花果,0.65
葡萄干,3.5
蜜枣,3.33
菠萝蜜,1.05
橙子,0.48
黑加仑,0.66
桃,0.51
梅（青梅）,0.35
凤梨,0.44
草莓,0.32
桑葚,0.57
苹果,0.54
山楂干,2.51
梨,0.5
柿,0.74
李子,0.38
蜜桔,0.45
柑橘,0.51
猕猴桃,0.61
石榴,0.73
芭蕉,1.15
芦柑,0.44
枣,1.25
柿饼,2.55
葡萄,0.44
柠檬,0.37
金桔,0.58
猪肝（卤煮）,2.03
狗肉,1.16
猪肉（瘦）,1.43
鸵鸟肉,1.75
野猪肉,1.6
猪蹄,2.6
白虾,0.81
羊肉,2.03
鹌鹑,1.1
鸽子,2.01
火腿肠,2.12
红肠,5.08
广东香肠,4.33
方腿,1.17
仔排,2.78
鹿肉,1.58
牛肉,1.31
兔肉,1.02
马心,1.04
驴肉,1.16
马肉,1.22
驴鞭,1.43
牛肚,0.72
牛腱子,1.05
牛大肠,0.66
牛肺,0.94
牛肝,1.49
牛脑,1.49
牛心,1.06
牛舌,1.96
培根,1.81
腊肉,5.87
火腿,5.29
牛蹄筋,1.51
羊肚,0.87
羊肺,0.96
羊肝,1.34
羊肉串,2.34
羊舌,2.25
羊肾,0.9
猪大肠,1.91
猪肚,1.14
猪耳,1.9
猪脑,1.31
猪舌,2.47
猪腰子,1.03
猪蹄,2.6
猪血,0.55
猪肝,1.3
猪心,1.19
田鸡（青蛙）,0.93
蛇,0.85
甲鱼,1.18
蚕蛹,2.3
大黄鱼,0.97
鳕鱼,0.88
乌贼,0.84
鲨鱼,1.18
鲫鱼,1.08
黄鸭叫,1.24
海鳗,1.22
白鲢鱼,1.04
三文鱼,1.39
鲈鱼,1.05
鳊鱼,1.35
舌鳎鱼,0.83
鲳鱼,1.4
桂鱼,1.17
沙丁鱼,0.89
小黄鱼,0.97
胖头鱼,1
河虾,0.87
虾米,1.98
黑鱼,0.85
带鱼,1.27
鲢鱼,1.04
鲍鱼,0.84
明虾,0.85
胡子鲶,1.46
边鱼,1.24
龙虾,0.9
蟹肉,0.62
对虾,0.93
基围虾,1.01
银鱼,1.05
鲤鱼,1.09
章鱼,0.52
草鱼,1.13
虾皮,1.53
青鱼,1.18
尖嘴白,1.37
鲜鱿鱼,0.75
虾姑,0.77
墨鱼,0.79
泥鳅,0.96
黄鳝,0.89
鱼,1.14
小龙虾,0.93
橄榄油,8.99
色拉油,8.98
葵花籽油,8.99
茶籽油,8.89
豆油,8.99
花生油,8.99
猪油（炼）,8.97
芝麻油,8.98
羊油（炼）,8.95
牛油（炼）,8.98
辣椒油,9
胡麻油,9
茶油,8.99
棉籽油,8.99
混合油（菜+棕）,8.95
鸭油,8.97
棕榈油,9
甜醅,1.92
巧克力（维夫）,5.75
红豆沙,0.94
果仁糖,4.85
蜂蜜,3.21
甜胚子,1.31
杨枝甘露,0.83
芝麻糖,5.1
可可粉,2.28
绵白糖,3.96
酥糖,4.44
绿豆沙,0.07
太妃糖,3.97
白砂糖,4
奶糖,4.07
棉花糖,3.21
红糖,3.89
芝麻糊,0.97
枫糖浆,2.61
山楂球,3.71
花生牛轧,4.32
冰糖,3.97
橡皮糖,3.96
豌豆黄,1.38
巧克力（酒心）,4.01
麦芽糖,3.31
豆沙水晶包,2.1
果酱,2.78
驴打滚,1.98
巧克力,5.89
泡泡糖,3.6
荷包蛋,1.64
鸭蛋,1.8
鹌鹑蛋,1.6
鸡蛋黄,3.28
鸡蛋,1.44
鹅蛋,1.96
鹅蛋黄,3.24
松花蛋,1.71
鹅蛋白,0.48
咸鸭蛋,1.9
鸭蛋黄,3.78
鸭蛋白,0.47
鸡蛋白,0.6
醋,0.31
梅子酱,2.3
桂林腐乳,2.04
味精,2.68
白醋,0.06
酸梅酱,2.3
烧烤酱,1.77
番茄酱,0.19
郫县辣酱,0.89
辣椒酱,0.31
鱼露,0.47
苹果醋,0.29
芝麻酱,6.18
陈醋,1.14
甜面酱,1.36
豆瓣酱,1.78
豉油,0.63
酱油,0.63
香油辣酱,0.54
芝士酱,1.96
五香豆豉,2.59
长豇豆,0.29
红苋菜,0.31
长茄子,0.23
黄芽菜,0.14
鲜香菇,0.19
香椿,0.47
小葱,0.24
菜瓜,0.18
马兰头,0.25
豆角,0.3
青苋菜,0.25
尖椒,0.23
雪里蕻,0.32
佛手抓,0.16
柿子椒,0.22
蓬蒿菜,0.24
莴苣,0.14
油麦菜,0.08
韭菜,0.2
小唐菜,0.12
韭芽,0.22
秋葵,0.37
空心菜,0.2
青菜,0.15
韭黄,0.14
红辣椒,0.4
平菇,0.2
地衣,0.06
芥蓝,0.19
大头菜,0.36
水芹,0.12
豆苗,0.3
芥兰,0.24
西芹,0.16
甘笋,0.41
狗芽菜,0.27
洋葱,0.4
西洋菜,0.13
萝卜,0.16
银耳,2.61
冬菜,0.52
蒜苗,0.4
青辣椒,0.27
白笋（干）,2.82
羊肚菌,3.21
八宝菜,0.78
大蒜,1.28
番茄,0.2
口蘑,2.77
草菇,0.27
莴苣菜,0.18
紫菜（干）,2.5
玉米,1.12
金针菇,0.32
琉璃苣,0.21
椰菜,0.25
苔菜（干）,1.67
小西胡瓜,0.22
冬菇,2.27
羽衣甘蓝,0.3
牛蒡根,0.72
海带,0.13
发菜,2.59
猴头菇,0.21
苦瓜,0.22
葫芦,0.16
绿豆芽,0.19
珍珠白蘑,2.58
腌雪里红,0.29
节瓜,0.15
佛手瓜,0.19
黄豆芽,0.47
蘑菇,0.24
南瓜,0.23
黄瓜,0.16
豌豆苗,0.38
莴笋,0.15
茴香,0.27
酱萝卜,0.33
细香葱,0.39
丝瓜,0.21
芹菜,0.17
茼蒿,0.24
酸白菜,0.15
辣椒（干）,2.95
苋菜,0.3
菠菜,0.28
榨菜,0.33
百合,1.66
茄子,0.23
甜菜叶,0.22
菜花,0.26
金针菜,2.14
冬瓜,0.12
香菜,0.33
蛇瓜,0.19
芦笋,0.22
毛笋,0.23
蕹菜,0.23
小白菜,0.27
香菇,0.26
松蘑,2.07
冬笋,0.42
荠菜,0.31
大白菜,0.18
水芹菜,0.13
木耳,2.65
胡萝卜,0.39
白萝卜,0.23
荸荠,0.61
水萝卜,0.22
山药,0.57
青萝卜,0.33
甘薯,1.06
藕,0.73
藕粉,3.73
葛,1.5
红萝卜,0.22
马铃薯,0.77
芥菜头,0.36
木薯,1.19
地瓜,0.57
茭白,0.26
春笋,0.25
萝卜缨,0.17
芥菜,0.27
姜,0.21
菱角,1.01
鞭笋,0.24
生菜,0.16
西兰花,0.36
芋头,0.81
甜菜根,0.87
竹笋,0.23
落葵,0.23
油菜,0.25
虾片,5.39
薯片,4.9
粟米饼,3.87
糙米饼,3.87
山楂果丹皮,3.26
薯条,2.73
爆米花,5.83
脆烤粟米,4.36
粟米脆片,5.18
牛肉干,5.5
脆卷饼,3.78
薯条小食,5.22
香蕉片,5.19
牛肉粒,4.07
猪肉松,3.96
酥香兰花豆,4.18
牛肉松,4.45
水饺,1.41
白米粉,3.66
牛奶饼干,4.08
面包（不含麸质）,2.47
蛋挞,3.1
黑面包,1.75
碎麦,0.83
黑糯米,3.6
苏打饼干,4.08
牛油排包,3.1
大麦粉,3.45
荞麦粉,3.35
糯米,3.55
葱油饼,3.6
猪仔包,2.9
菠萝包,3.5
米粥（熟）,0.46
油条,3.88
燕麦,3.89
白粟米,3.65
白米,1.33
麦芽,3.07
米粉（熟）,1.09
小米,1.19
通心面,3.51
米饼,3.98
水晶饼,4.38
白糯米饭,0.97
糙米粉,3.63
全麦面包,2.47
酿皮,1.07
酥饼,5.02
饼干,4.35
春卷,4.65
炒面,5.27
油面筋,4.93
粟米粉,3.81
煎饼,3.54
烙饼（标准粉）,2.59
三鲜豆皮,2.39
月饼,4.24
大麦芽粉,3.61
油饼,4.03
中式河粉,5.21
香酥卷,3.68
麻烘糕,3.98
蛋糕,3.48
花卷,2.14
方便面,4.73
青稞,3.42
绿豆糕,3.51
年糕,1.56
粉丝,3.38
面条,2.86
粳米粥,0.47
蛋黄酥,3.88
面包,3.13
苦荞麦粉,3.16
小米粥,0.46
面窝,2.91
馒头,2.23
鸡柳三文治,2.83
油茶,0.96
水面筋,1.42
粉皮,0.62
凉面,1.67
麻花,5.27
蜜麻花,3.69
燕麦片,3.77
桃酥,4.83
汉堡包,2.68
炸糕,2.82
凉粉,0.51
麦片,3.68
豆腐脑,0.48
开口笑,5.19
米饭,1.16
热干面,1.53
荞麦,3.37
高粱米,3.51
黑米,3.33
薏米,3.57
三明治冰激凌,1.27
双棒雪糕,1.69
冰砖,0.47
冰淇淋,1.53
雪糕,1.37
火鸡腿,0.91
北京烤鸭,4.36
鸭肠,1.29
鸭肉,2.4
鸡肫,1.18
盐水鸭,3.13
鸭心,1.43
鸭掌,1.5
卤煮鸡,2.12
鸡爪,2.54
酱鸭,2.66
鸭肝,1.28
鸭胸脯肉,0.9
烤鸡,2.4
鸡腿,1.84
鸡翅,1.94
鸡肉,1.67
鸡胸脯肉,1.33
鹅肝,1.29
乌骨鸡,1.11
鹅,2.51
鸭血,0.56
咸豆浆,0.14
鹰嘴豆,1.6
豌豆,1.05
赤小豆,3.24
蚕豆,3.38
淡豆浆,0.12
四季豆,0.28
扁豆,0.4
绿豆面,3.41
绿豆饼,1.22
小扁豆,1.16
毛豆,1.23
豆沙,2.47
黑豆,4.01
烤麸,1.21
素鸡,1.94
豆腐,0.82
腐竹,4.61
荷兰豆,0.27
豆腐皮,4.09
豆腐干,1.42
青豆,3.98
黄豆,3.9
刀豆,0.36
豆腐丝,2.01
千张,2.62
芸豆,3.31
红豆,3.09
豇豆,0.3
豆腐脑,0.15
木豆,3.4
绿豆,3.16
油豆腐,2.45
腐乳,1.33
桂林腐乳,2.04
